disaster,href,resource_link,during_disaster,after_disaster
Active Shooter,/active-shooter,https://www.ready.gov/active-shooter,"[{'RUN and escape if possible.'}, {'HIDE if escape is not possible.'}, {'FIGHT\xa0as an absolute last resort.'}]","[{'FIGHT\xa0as an absolute last resort.': 'Keep hands visible and empty.\nKnow that law enforcement’s first task is to end the incident and they may have to pass injured along the way.\nOfficers may be armed with rifles, shotguns or handguns and may use pepper spray or tear gas to control the situation.\nOfficers will shout commands and may push individuals to the ground for their safety.\nFollow law enforcement instructions and evacuate in the direction they come from unless otherwise instructed.\nTake care of yourself first, and then you may be able to help the wounded before first responders arrive.\nIf the injured are in immediate danger, help get them to safety.\nWhile you wait for first responders to arrive, provide first aid. Apply direct pressure to wounded areas and use tourniquets if you have been trained to do so.\nTurn wounded people onto their sides if they are unconscious and keep them warm.\nConsider seeking professional help for you and your family to cope with the long-term effects of the trauma.'}]"
Attacks in Public Places,/public-spaces,https://www.ready.gov/public-spaces,"[{'Stay Alert'}, {'Run to Safety'}, {'Cover and Hide'}, {'Defend, Disrupt, Fight'}, {'Help the Wounded'}]","[{'Call 9-1-1': 'When you are safe, call 9-1-1 and be prepared to provide information to the operator including location of the incident, number of injured and details about the attacker(s).'}, {'Continue Lifesaving Assistance': 'If you are able, continue to provide care until first responders arrive.'}, {'When Law Enforcement Arrives': 'Remain calm and follow instructions.\nKeep hands visible and empty.\nReport to designated areas to provide information and get help.'}, {'Monitor Communications': 'Listen to law enforcement’s messages for information about the situation. Share updates with family and friends.'}, {'Consider Seeking Professional Help': 'Be mindful of your health. If needed, seek help for you and your family to cope with the trauma.'}]"
Avalanche,/avalanche,https://www.ready.gov/avalanche,"[{'Use and carry safety equipment and rescue gear.\nIf your partner or others are buried, call 9-1-1 and then begin to search if it is safe to do so.\nIf you have the proper training, treat others for suffocation, hypothermia, traumatic injury or shock.'}]",[]
Bioterrorism,/Bioterrorism,https://www.ready.gov/Bioterrorism,"[{'Watch TV, listen to the radio or check the Internet for official news and information including:\nSigns and symptoms of the disease\nAreas in danger\nIf medications or vaccinations are being distributed\nWhere to seek medical attention if you become ill\nIf you become aware of a suspicious substance, quickly get away.\nCover your mouth and nose with layers of fabric that can filter the air but still allow breathing. Examples include two to three layers of cotton such as a t-shirt, handkerchief or towel.\nDepending on the situation, wear a face mask to reduce inhaling or spreading germs.\nIf you have been exposed to a biological agent, remove and bag your clothes and personal items. Follow official instructions for disposal of contaminated items.\nWash yourself with soap and water and put on clean clothes.\nContact authorities and seek medical assistance. You may be advised to stay away from others or even to\xa0quarantine.\nIf your symptoms match those described and you are in the group considered at risk, immediately seek emergency medical attention.\nFollow the\xa0instructions of doctors and other public health officials.\nAvoid\xa0crowds.\nWash your hands with soap and water frequently.\nDo not share food or utensils.'}]",[]
Chemical Emergencies,/chemical,https://www.ready.gov/chemical,[],[]
Cybersecurity,/cybersecurity,https://www.ready.gov/cybersecurity,"[{'Limit the damage. Look for unexplained charges, strange accounts on your credit report, unexpected denial of your credit card, posts you did not make showing up on your social networks and people receiving emails you never sent.\nImmediately change passwords for all of your online accounts.\nScan and clean your device.\nConsider turning off the device. Take it to a professional to scan and fix.\nLet work, school or other system owners know.\nContact banks, credit card companies and other financial accounts. You may need to place holds on accounts that have been attacked. Close any unauthorized credit or charge accounts. Report that someone may be using your identity.\nCheck to make sure the software on all of your systems is up-to-date.\nRun a scan to make sure your system is not infected or acting suspiciously.\nIf you find a problem, disconnect your device from the Internet and perform a full system restore.\nIf in a public setting immediately inform a librarian, teacher or manager in charge to contact their IT department.'}]","[{""File a report with the\nOffice of the Inspector General (OIG)\nif you think someone is illegally using your Social Security number.\nFile a complaint with the\nFBI Internet Crime Complaint Center (IC3)\n. They will review the complaint and refer it to the appropriate agency.\nFile a report with the local police so there is an official record of the incident.\nReport identity theft to the\nFederal Trade Commission\n.\nContact additional agencies depending on what information was stolen. Examples include contacting the\nSocial Security Administration\n(800-269- 0271) if your social security number was compromised, or the Department of Motor Vehicles if your driver's license or car registration has been stolen.\nReport online crime or fraud to your local United States Secret Service (USSS)\nElectronic Crimes Task Force\nor the\nInternet Crime Complaint Center\n.\nFor further information on preventing and identifying threats, visit US-CERT’s\nAlerts and Tips page\n.""}]"
Drought,/drought,https://www.ready.gov/drought,"[{'Indoor Water Conservation Tips During a Drought'}, {'Indoor Water Conservation Tips During a Drought'}, {'Indoor Water Conservation Tips During a Drought'}, {'Outdoor Water Conservation Tips During a Drought'}, {'Outdoor Water Conservation Tips During a Drought'}]",[]
Earthquakes,/earthquakes,https://www.ready.gov/earthquakes,"['drop cover hold', ""don't panic""]","[""don't panic"", ""make sure it's safe to move"", 'exit home', 'locate emergency kit', 'help or call for help', 'put on long pants, shirt, shoes', 'check for gas leaks (open window/turn off gas/turn on by professional)', 'Look for electrical damage (sparks, wires, etc)', 'Look for sewage dimage (if so, turn off water)', 'bring out fire ext', 'listen to radio']"
Explosions,/explosions,https://www.ready.gov/explosions,[{'Suspicious Packages and Letters'}],"[{'Suspicious Packages and Letters': 'There may be significant numbers of casualties or damage to buildings and infrastructure.\nHeavy law enforcement involvement at the local, state and federal levels.\nHealth and mental health resources may be strained or overwhelmed.\nExtensive media coverage and\xa0strong public fear.\nWorkplaces and schools may be closed and there may be restrictions on\xa0travel.\nYou may have to evacuate an area.\nClean-up may take many months.'}]"
Extreme Heat,/heat,https://www.ready.gov/heat,"[{'Never leave a child, adult or animal alone inside a vehicle on a warm day.\nFind places with air conditioning. Libraries, shopping malls and community centers can provide a cool place to take a break from the heat.\nIf you’re outside, find shade. Wear a hat wide enough to protect your face.\nWear loose, lightweight, light-colored clothing.\nDrink plenty of fluids to stay hydrated. If you or someone you care for is on a special diet, ask a doctor how best to accommodate it.\nDo not use electric fans when the temperature outside is more than 95 degrees, as it could increase the risk of heat-related illness. Fans create air flow and a false sense of comfort, but do not reduce body temperature.\nAvoid high-energy activities.\nCheck yourself, family members and neighbors for signs of heat-related illness.'}]",[]
